seed,condicao,r2
0,lit,0.7862293078032991
0,rand,0.7341578217887603
1,lit,0.7915123231270818
1,rand,0.7921249888349644
2,lit,0.7690392282981988
2,rand,0.7577025488984339
3,lit,0.8017428660258706
3,rand,0.7654055892219337
4,lit,0.7985676977684082
4,rand,0.7634979754249507
5,lit,0.7757845661000589
5,rand,0.7274256231062486
6,lit,0.8068876649373804
6,rand,0.8067517056969278
7,lit,0.7967649685914708
7,rand,0.7832630623629662
8,lit,0.7798987186964024
8,rand,0.7620597001397554
9,lit,0.7855424263167446
9,rand,0.7671933973004097
